instruction,input,output,text
"In the given sentence, find the entities of possible types - TASK, MATERIAL, METHOD, METRIC, GENERIC, OTHERSCIENTIFICTERM",English is shown to be trans-context-free on the basis of coordinations of the respectively type that involve strictly syntactic cross-serial agreement .,"The entities 'English' of type MATERIAL, 'coordinations' of type OTHERSCIENTIFICTERM and 'strictly syntactic cross-serial agreement' of type OTHERSCIENTIFICTERM are identified from the given text.","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: In the given sentence, find the entities of possible types - TASK, MATERIAL, METHOD, METRIC, GENERIC, OTHERSCIENTIFICTERM ### Input: English is shown to be trans-context-free on the basis of coordinations of the respectively type that involve strictly syntactic cross-serial agreement . ### Response: The entities 'English' of type MATERIAL, 'coordinations' of type OTHERSCIENTIFICTERM and 'strictly syntactic cross-serial agreement' of type OTHERSCIENTIFICTERM are identified from the given text."
"In the given sentence, find the entities of possible types - TASK, MATERIAL, METHOD, METRIC, GENERIC, OTHERSCIENTIFICTERM","The agreement in question involves number in nouns and reflexive pronouns and is syntactic rather than semantic in nature because grammatical number in English , like grammatical gender in languages such as French , is partly arbitrary .","The entities 'agreement' of type GENERIC, 'nouns' of type OTHERSCIENTIFICTERM, 'reflexive pronouns' of type OTHERSCIENTIFICTERM, 'grammatical number' of type OTHERSCIENTIFICTERM, 'English' of type MATERIAL, 'grammatical gender' of type OTHERSCIENTIFICTERM, 'languages' of type MATERIAL and 'French' of type MATERIAL are identified from the given text.","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: In the given sentence, find the entities of possible types - TASK, MATERIAL, METHOD, METRIC, GENERIC, OTHERSCIENTIFICTERM ### Input: The agreement in question involves number in nouns and reflexive pronouns and is syntactic rather than semantic in nature because grammatical number in English , like grammatical gender in languages such as French , is partly arbitrary . ### Response: The entities 'agreement' of type GENERIC, 'nouns' of type OTHERSCIENTIFICTERM, 'reflexive pronouns' of type OTHERSCIENTIFICTERM, 'grammatical number' of type OTHERSCIENTIFICTERM, 'English' of type MATERIAL, 'grammatical gender' of type OTHERSCIENTIFICTERM, 'languages' of type MATERIAL and 'French' of type MATERIAL are identified from the given text."
"In the given sentence, find the entities of possible types - TASK, MATERIAL, METHOD, METRIC, GENERIC, OTHERSCIENTIFICTERM","The formal proof , which makes crucial use of the Interchange Lemma of Ogden et al. , is so constructed as to be valid even if English is presumed to contain grammatical sentences in which respectively operates across a pair of coordinate phrases one of whose members has fewer conjuncts than the other ; it thus goes through whatever the facts may be regarding constructions with unequal numbers of conjuncts in the scope of respectively , whereas other arguments have foundered on this problem .",The entities 'Interchange Lemma' of type METHOD and 'English' of type MATERIAL are identified from the given text.,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: In the given sentence, find the entities of possible types - TASK, MATERIAL, METHOD, METRIC, GENERIC, OTHERSCIENTIFICTERM ### Input: The formal proof , which makes crucial use of the Interchange Lemma of Ogden et al. , is so constructed as to be valid even if English is presumed to contain grammatical sentences in which respectively operates across a pair of coordinate phrases one of whose members has fewer conjuncts than the other ; it thus goes through whatever the facts may be regarding constructions with unequal numbers of conjuncts in the scope of respectively , whereas other arguments have foundered on this problem . ### Response: The entities 'Interchange Lemma' of type METHOD and 'English' of type MATERIAL are identified from the given text."
"In the given sentence, find the entities of possible types - TASK, MATERIAL, METHOD, METRIC, GENERIC, OTHERSCIENTIFICTERM","In this paper , a novel method to learn the intrinsic object structure for robust visual tracking is proposed .","The entities 'method' of type METHOD, 'intrinsic object structure' of type OTHERSCIENTIFICTERM and 'robust visual tracking' of type TASK are identified from the given text.","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: In the given sentence, find the entities of possible types - TASK, MATERIAL, METHOD, METRIC, GENERIC, OTHERSCIENTIFICTERM ### Input: In this paper , a novel method to learn the intrinsic object structure for robust visual tracking is proposed . ### Response: The entities 'method' of type METHOD, 'intrinsic object structure' of type OTHERSCIENTIFICTERM and 'robust visual tracking' of type TASK are identified from the given text."
"In the given sentence, find the entities of possible types - TASK, MATERIAL, METHOD, METRIC, GENERIC, OTHERSCIENTIFICTERM",The basic assumption is that the parameterized object state lies on a low dimensional manifold and can be learned from training data .,The entities 'parameterized object state' of type OTHERSCIENTIFICTERM and 'low dimensional manifold' of type OTHERSCIENTIFICTERM are identified from the given text.,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: In the given sentence, find the entities of possible types - TASK, MATERIAL, METHOD, METRIC, GENERIC, OTHERSCIENTIFICTERM ### Input: The basic assumption is that the parameterized object state lies on a low dimensional manifold and can be learned from training data . ### Response: The entities 'parameterized object state' of type OTHERSCIENTIFICTERM and 'low dimensional manifold' of type OTHERSCIENTIFICTERM are identified from the given text."
"In the given sentence, find the entities of possible types - TASK, MATERIAL, METHOD, METRIC, GENERIC, OTHERSCIENTIFICTERM","Based on this assumption , firstly we derived the dimensionality reduction and density estimation algorithm for unsupervised learning of object intrinsic representation , the obtained non-rigid part of object state reduces even to 2 dimensions .","The entities 'dimensionality reduction and density estimation algorithm' of type METHOD, 'object intrinsic representation' of type METHOD and 'non-rigid part of object state' of type OTHERSCIENTIFICTERM are identified from the given text.","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: In the given sentence, find the entities of possible types - TASK, MATERIAL, METHOD, METRIC, GENERIC, OTHERSCIENTIFICTERM ### Input: Based on this assumption , firstly we derived the dimensionality reduction and density estimation algorithm for unsupervised learning of object intrinsic representation , the obtained non-rigid part of object state reduces even to 2 dimensions . ### Response: The entities 'dimensionality reduction and density estimation algorithm' of type METHOD, 'object intrinsic representation' of type METHOD and 'non-rigid part of object state' of type OTHERSCIENTIFICTERM are identified from the given text."
"In the given sentence, find the entities of possible types - TASK, MATERIAL, METHOD, METRIC, GENERIC, OTHERSCIENTIFICTERM",Secondly the dynamical model is derived and trained based on this intrinsic representation .,The entities 'dynamical model' of type METHOD and 'intrinsic representation' of type METHOD are identified from the given text.,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: In the given sentence, find the entities of possible types - TASK, MATERIAL, METHOD, METRIC, GENERIC, OTHERSCIENTIFICTERM ### Input: Secondly the dynamical model is derived and trained based on this intrinsic representation . ### Response: The entities 'dynamical model' of type METHOD and 'intrinsic representation' of type METHOD are identified from the given text."
"In the given sentence, find the entities of possible types - TASK, MATERIAL, METHOD, METRIC, GENERIC, OTHERSCIENTIFICTERM",Thirdly the learned intrinsic object structure is integrated into a particle-filter style tracker .,The entities 'intrinsic object structure' of type OTHERSCIENTIFICTERM and 'particle-filter style tracker' of type METHOD are identified from the given text.,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: In the given sentence, find the entities of possible types - TASK, MATERIAL, METHOD, METRIC, GENERIC, OTHERSCIENTIFICTERM ### Input: Thirdly the learned intrinsic object structure is integrated into a particle-filter style tracker . ### Response: The entities 'intrinsic object structure' of type OTHERSCIENTIFICTERM and 'particle-filter style tracker' of type METHOD are identified from the given text."
"In the given sentence, find the entities of possible types - TASK, MATERIAL, METHOD, METRIC, GENERIC, OTHERSCIENTIFICTERM",We will show that this intrinsic object representation has some interesting properties and based on which the newly derived dynamical model makes particle-filter style tracker more robust and reliable .,"The entities 'intrinsic object representation' of type METHOD, 'dynamical model' of type METHOD and 'particle-filter style tracker' of type METHOD are identified from the given text.","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: In the given sentence, find the entities of possible types - TASK, MATERIAL, METHOD, METRIC, GENERIC, OTHERSCIENTIFICTERM ### Input: We will show that this intrinsic object representation has some interesting properties and based on which the newly derived dynamical model makes particle-filter style tracker more robust and reliable . ### Response: The entities 'intrinsic object representation' of type METHOD, 'dynamical model' of type METHOD and 'particle-filter style tracker' of type METHOD are identified from the given text."
"In the given sentence, find the entities of possible types - TASK, MATERIAL, METHOD, METRIC, GENERIC, OTHERSCIENTIFICTERM",Experiments show that the learned tracker performs much better than existing trackers on the tracking of complex non-rigid motions such as fish twisting with self-occlusion and large inter-frame lip motion .,"The entities 'tracker' of type GENERIC, 'trackers' of type GENERIC, 'complex non-rigid motions' of type OTHERSCIENTIFICTERM, 'fish twisting' of type OTHERSCIENTIFICTERM, 'self-occlusion' of type OTHERSCIENTIFICTERM and 'inter-frame lip motion' of type OTHERSCIENTIFICTERM are identified from the given text.","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: In the given sentence, find the entities of possible types - TASK, MATERIAL, METHOD, METRIC, GENERIC, OTHERSCIENTIFICTERM ### Input: Experiments show that the learned tracker performs much better than existing trackers on the tracking of complex non-rigid motions such as fish twisting with self-occlusion and large inter-frame lip motion . ### Response: The entities 'tracker' of type GENERIC, 'trackers' of type GENERIC, 'complex non-rigid motions' of type OTHERSCIENTIFICTERM, 'fish twisting' of type OTHERSCIENTIFICTERM, 'self-occlusion' of type OTHERSCIENTIFICTERM and 'inter-frame lip motion' of type OTHERSCIENTIFICTERM are identified from the given text."
